v8-version,6,2,414,54,0
code-creation,Stub,3,2058,0x3485bc314d00,2088,"RecordWriteStub"
code-creation,Stub,3,2058,0x3485bc3155a0,2103,"RecordWriteStub"
code-creation,Stub,3,2059,0x3485bc315e40,2088,"RecordWriteStub"
code-creation,Stub,3,2059,0x3485bc3166e0,884,"RecordWriteStub"
code-creation,Stub,3,2060,0x3485bc316ac0,884,"RecordWriteStub"
code-creation,Stub,3,2060,0x3485bc316ea0,2109,"RecordWriteStub"
code-creation,Stub,3,2061,0x3485bc317740,882,"RecordWriteStub"
code-creation,Stub,3,2062,0x3485bc317b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2062,0x3485bc317c60,235,"NumberToStringStub"
code-creation,Stub,3,2063,0x3485bc317dc0,2125,"RecordWriteStub"
code-creation,Stub,3,2064,0x3485bc318680,2142,"RecordWriteStub"
code-creation,Stub,3,2064,0x3485bc318f40,884,"RecordWriteStub"
code-creation,Stub,3,2065,0x3485bc319320,2104,"RecordWriteStub"
code-creation,Stub,3,2065,0x3485bc319bc0,2088,"RecordWriteStub"
code-creation,Stub,3,2066,0x3485bc31a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2067,0x3485bc31a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,2067,0x3485bc31ae60,87,"DoubleToIStub"
code-creation,Stub,3,2068,0x3485bc31af20,2076,"RecordWriteStub"
code-creation,Stub,3,2068,0x3485bc31b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,2069,0x3485bc31c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2069,0x3485bc31c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,2070,0x3485bc31c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2071,0x3485bc31c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2072,0x3485bc31c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,2072,0x3485bc31c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,2083,0x3485bc31ce80,2126,"RecordWriteStub"
code-creation,Stub,3,2084,0x3485bc31d740,2076,"RecordWriteStub"
code-creation,Stub,3,2084,0x3485bc31dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,2085,0x3485bc31e860,2099,"RecordWriteStub"
code-creation,Stub,3,2085,0x3485bc31f100,2084,"RecordWriteStub"
code-creation,Stub,3,2086,0x3485bc31f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,2086,0x3485bc320280,2087,"RecordWriteStub"
code-creation,Stub,3,2087,0x3485bc320b20,2072,"RecordWriteStub"
code-creation,Stub,3,2088,0x3485bc3213a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2088,0x3485bc321580,612,"An IC handler from the snapshot"
code-creation,Stub,3,2089,0x3485bc321860,2126,"RecordWriteStub"
code-creation,Handler,4,2089,0x3485bc322120,180,"An IC handler from the snapshot"
code-creation,Stub,3,2090,0x3485bc322240,2088,"RecordWriteStub"
code-creation,Handler,4,2091,0x3485bc322ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,2091,0x3485bc322c00,3146,"SubStringStub"
code-creation,Stub,3,2092,0x3485bc3238c0,269,"CEntryStub"
code-creation,Stub,3,2093,0x3485bc323a40,2106,"RecordWriteStub"
code-creation,Stub,3,2107,0x3485bc3242e0,2103,"RecordWriteStub"
code-creation,Stub,3,2108,0x3485bc324b80,2110,"RecordWriteStub"
code-creation,Stub,3,2109,0x3485bc325420,882,"RecordWriteStub"
code-creation,Stub,3,2109,0x3485bc325800,2084,"RecordWriteStub"
code-creation,Stub,3,2110,0x3485bc3260a0,2072,"RecordWriteStub"
code-creation,Stub,3,2110,0x3485bc326920,2106,"RecordWriteStub"
code-creation,Stub,3,2111,0x3485bc3271c0,2126,"RecordWriteStub"
code-creation,Stub,3,2111,0x3485bc327a80,2113,"RecordWriteStub"
code-creation,Stub,3,2112,0x3485bc328340,463,"StringAddStub"
code-creation,Builtin,5,2113,0x3485bc328580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,2113,0x3485bc3286a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,2114,0x3485bc328780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,2115,0x3485bc328900,2117,"RecordWriteStub"
code-creation,Stub,3,2115,0x3485bc3291c0,2142,"RecordWriteStub"
code-creation,Stub,3,2116,0x3485bc329a80,2100,"RecordWriteStub"
code-creation,Stub,3,2126,0x3485bc32a320,2117,"RecordWriteStub"
code-creation,Stub,3,2127,0x3485bc32abe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2127,0x3485bc32ad40,2130,"RecordWriteStub"
code-creation,Stub,3,2128,0x3485bc32b600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2128,0x3485bc32b7e0,2076,"RecordWriteStub"
code-creation,Stub,3,2129,0x3485bc32c060,2142,"RecordWriteStub"
code-creation,Stub,3,2129,0x3485bc32c920,491,"StringAddStub"
code-creation,Stub,3,2130,0x3485bc32cb80,2088,"RecordWriteStub"
code-creation,Stub,3,2131,0x3485bc32d420,2125,"RecordWriteStub"
code-creation,Stub,3,2131,0x3485bc32dce0,2084,"RecordWriteStub"
code-creation,Stub,3,2132,0x3485bc32e580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,2132,0x3485bc32e6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,2133,0x3485bc32e9a0,2126,"RecordWriteStub"
code-creation,Stub,3,2133,0x3485bc32f260,2109,"RecordWriteStub"
code-creation,Stub,3,2134,0x3485bc32fb00,2072,"RecordWriteStub"
code-creation,Stub,3,2135,0x3485bc330380,2130,"RecordWriteStub"
code-creation,Stub,3,2135,0x3485bc330c40,2125,"RecordWriteStub"
code-creation,Handler,4,2136,0x3485bc331500,552,"An IC handler from the snapshot"
code-creation,Stub,3,2136,0x3485bc3317a0,2088,"RecordWriteStub"
code-creation,Stub,3,2146,0x3485bc332040,2129,"RecordWriteStub"
code-creation,Stub,3,2146,0x3485bc332900,1225,"RecordWriteStub"
code-creation,Stub,3,2147,0x3485bc332e40,269,"CEntryStub"
code-creation,Stub,3,2147,0x3485bc332fc0,2100,"RecordWriteStub"
code-creation,Stub,3,2148,0x3485bc333860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2148,0x3485bc3339a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2149,0x3485bc333b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,2150,0x3485bc333e60,2091,"RecordWriteStub"
code-creation,Stub,3,2150,0x3485bc334700,2130,"RecordWriteStub"
code-creation,Handler,4,2151,0x3485bc334fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,2151,0x3485bc3350c0,2076,"RecordWriteStub"
code-creation,Stub,3,2152,0x3485bc335940,884,"RecordWriteStub"
code-creation,Stub,3,2152,0x3485bc335d20,331,"CallApiGetterStub"
code-creation,Stub,3,2153,0x3485bc335ee0,261,"MathPowStub"
code-creation,Stub,3,2154,0x3485bc336060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2154,0x3485bc336200,2091,"RecordWriteStub"
code-creation,Stub,3,2155,0x3485bc336aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2155,0x3485bc336be0,2134,"RecordWriteStub"
code-creation,Stub,3,2156,0x3485bc3374a0,2126,"RecordWriteStub"
code-creation,Stub,3,2156,0x3485bc337d60,1207,"RecordWriteStub"
code-creation,Stub,3,2157,0x3485bc338280,2079,"RecordWriteStub"
code-creation,Stub,3,2157,0x3485bc338b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2158,0x3485bc338d00,2099,"RecordWriteStub"
code-creation,Stub,3,2159,0x3485bc3395a0,2160,"RecordWriteStub"
code-creation,Stub,3,2159,0x3485bc339e80,2088,"RecordWriteStub"
